id,Large File,File URL,LOC,N_Components,N_Functions,N_Imports,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,index.d.ts,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@babel/types/lib/index.d.ts,3281,0,0,0,,
2,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@babel/types/lib/index.js,583,0,0,0,,
3,LogBoxData.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@expo/metro-runtime/build/error-overlay/Data/LogBoxData.js,389,1,25,0,,
4,createBottomTabNavigator.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/navigators/createBottomTabNavigator.js,86,5,0,0,,
5,useBottomTabBarHeight.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/utils/useBottomTabBarHeight.js,19,3,1,0,,
6,Badge.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/Badge.js,88,5,0,0,,
7,BottomTabView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/BottomTabView.js,134,5,0,0,,
8,ScreenFallback.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/commonjs/views/ScreenFallback.js,50,5,0,0,,
9,BottomTabBar.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/lib/module/views/BottomTabBar.js,301,1,3,14,,
10,BottomTabBar.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabBar.tsx,393,1,3,22,,
11,BottomTabItem.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/bottom-tabs/src/views/BottomTabItem.tsx,334,1,0,16,,
12,BaseNavigationContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/BaseNavigationContainer.js,345,3,1,0,,
13,EnsureSingleNavigator.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/EnsureSingleNavigator.js,43,3,0,0,,
14,PreventRemoveProvider.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/PreventRemoveProvider.js,96,4,1,0,,
15,SceneView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/SceneView.js,93,4,0,0,,
16,StaticContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/StaticContainer.js,33,3,0,0,,
17,useComponent.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useComponent.js,40,3,1,0,,
18,useCurrentRender.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useCurrentRender.js,27,3,1,0,,
19,useDescriptors.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useDescriptors.js,134,3,2,0,,
20,useFocusEffect.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useFocusEffect.js,79,3,2,0,,
21,useFocusEvents.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useFocusEvents.js,72,3,1,0,,
22,useFocusedListenersChildrenAdapter.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useFocusedListenersChildrenAdapter.js,50,3,1,0,,
23,useIsFocused.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useIsFocused.js,39,3,1,0,,
24,useNavigation.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigation.js,28,3,1,0,,
25,useNavigationBuilder.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationBuilder.js,457,3,3,0,,
26,useNavigationCache.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationCache.js,126,3,3,0,,
27,useNavigationContainerRef.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationContainerRef.js,19,3,1,0,,
28,useNavigationHelpers.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationHelpers.js,81,3,2,0,,
29,useNavigationState.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useNavigationState.js,37,3,1,0,,
30,useOnAction.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnAction.js,103,3,1,0,,
31,useOnGetState.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnGetState.js,51,3,1,0,,
32,useOnPreventRemove.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnPreventRemove.js,75,3,2,0,,
33,useOnRouteFocus.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOnRouteFocus.js,38,3,1,0,,
34,useOptionsGetters.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useOptionsGetters.js,81,3,1,0,,
35,usePreventRemove.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/usePreventRemove.js,48,3,1,0,,
36,usePreventRemoveContext.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/usePreventRemoveContext.js,19,3,1,0,,
37,useRoute.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/core/lib/commonjs/useRoute.js,24,3,1,0,,
38,Background.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Background.js,28,4,0,0,,
39,Header.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/Header.js,239,4,1,0,,
40,HeaderBackButton.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/HeaderBackButton.js,208,4,0,0,,
41,HeaderBackground.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/HeaderBackground.js,50,4,0,0,,
42,HeaderTitle.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/HeaderTitle.js,49,4,0,0,,
43,useHeaderHeight.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Header/useHeaderHeight.js,19,3,1,0,,
44,MaskedViewNative.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/MaskedViewNative.js,34,3,0,0,,
45,MissingIcon.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/MissingIcon.js,29,3,0,0,,
46,PlatformPressable.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/PlatformPressable.js,65,4,0,0,,
47,ResourceSavingView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/ResourceSavingView.js,60,4,0,0,,
48,SafeAreaProviderCompat.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/SafeAreaProviderCompat.js,60,3,0,0,,
49,Screen.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/elements/lib/commonjs/Screen.js,76,4,0,0,,
50,Link.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/Link.js,51,4,0,0,,
51,NavigationContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/NavigationContainer.js,111,5,0,0,,
52,ServerContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/ServerContainer.js,56,3,0,0,,
53,ThemeContext.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/theming/ThemeContext.js,16,3,0,0,,
54,ThemeProvider.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/theming/ThemeProvider.js,21,4,0,0,,
55,useTheme.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/theming/useTheme.js,16,3,1,0,,
56,useLinkBuilder.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/useLinkBuilder.js,63,3,2,0,,
57,useLinkProps.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/useLinkProps.js,98,3,3,0,,
58,useLinkTo.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/useLinkTo.js,45,3,1,0,,
59,useLinking.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/useLinking.js,304,3,6,0,,
60,useLinking.native.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native/lib/commonjs/useLinking.native.js,156,3,2,0,,
61,createNativeStackNavigator.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native-stack/lib/commonjs/navigators/createNativeStackNavigator.js,64,5,0,0,,
62,DebugContainer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native-stack/lib/commonjs/views/DebugContainer.js,19,3,0,0,,
63,DebugContainer.native.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native-stack/lib/commonjs/views/DebugContainer.native.js,43,5,0,0,,
64,HeaderConfig.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native-stack/lib/commonjs/views/HeaderConfig.js,170,3,0,0,,
65,NativeStackView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native-stack/lib/commonjs/views/NativeStackView.js,148,3,0,0,,
66,NativeStackView.native.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@react-navigation/native-stack/lib/commonjs/views/NativeStackView.native.js,341,8,0,0,,
67,render.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@testing-library/react-native/build/render.js,136,3,11,0,,
68,shallow.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/@testing-library/react-native/build/shallow.js,24,3,1,0,,
69,ExpoHead.ios.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-head/build/ExpoHead.ios.js,249,4,9,7,,
70,ExpoHead.ios.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-head/src/ExpoHead.ios.tsx,324,4,9,8,,
71,ExpoRoot.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-router/src/ExpoRoot.tsx,129,3,1,11,,
72,Tutorial.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-router/src/onboard/Tutorial.tsx,197,3,1,8,,
73,useScreens.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-router/src/useScreens.tsx,311,0,8,16,,
74,Sitemap.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/expo-router/src/views/Sitemap.tsx,270,6,1,16,,
75,summaryTableHeader.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/istanbul-reports/lib/html-spa/src/summaryTableHeader.js,131,3,1,0,,
76,index.d.ts,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/nativewind/node_modules/@babel/helper-module-imports/node_modules/@babel/types/lib/index.d.ts,3281,0,0,0,,
77,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/nativewind/node_modules/@babel/helper-module-imports/node_modules/@babel/types/lib/index.js,583,0,0,0,,
78,index.d.ts,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/nativewind/node_modules/@babel/types/lib/index.d.ts,3222,0,0,0,,
79,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/nativewind/node_modules/@babel/types/lib/index.js,650,0,0,0,,
80,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-freeze/dist/index.js,40,3,0,0,,
81,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-helmet-async/src/index.js,248,1,0,11,,
82,Inspector.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/Inspector.js,269,1,0,2,,
83,NetworkOverlay.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Inspector/NetworkOverlay.js,608,1,3,1,,
84,FlatList.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Lists/FlatList.js,704,1,3,10,,
85,SectionListModern.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Lists/SectionListModern.js,250,0,0,12,,
86,Modal.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Modal/Modal.js,308,1,1,9,,
87,ReactFabric-prod.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactFabric-prod.js,8446,6,248,0,,
88,ReactFabric-profiling.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactFabric-profiling.js,8935,6,258,0,,
89,ReactNativeRenderer-prod.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactNativeRenderer-prod.js,8613,7,252,0,,
90,ReactNativeRenderer-profiling.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Renderer/implementations/ReactNativeRenderer-profiling.js,9106,7,262,0,,
91,ReactNativeTestTools.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native/Libraries/Utilities/ReactNativeTestTools.js,239,1,14,1,,
92,DrawerLayout.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/DrawerLayout.js,565,5,0,0,,
93,GestureButtons.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureButtons.js,240,8,0,0,,
94,GestureComponents.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureComponents.js,115,4,0,0,,
95,GestureComponents.web.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureComponents.web.js,52,5,0,0,,
96,GestureHandlerButton.web.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureHandlerButton.web.js,24,3,0,0,,
97,GestureHandlerRootView.android.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureHandlerRootView.android.js,31,4,0,0,,
98,GestureHandlerRootView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureHandlerRootView.js,31,4,0,0,,
99,GestureHandlerRootView.web.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/GestureHandlerRootView.web.js,25,4,0,0,,
100,Swipeable.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/Swipeable.js,383,5,0,0,,
101,gestureHandlerRootHOC.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/gestureHandlerRootHOC.js,40,4,1,0,,
102,GenericTouchable.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/GenericTouchable.js,290,5,0,0,,
103,TouchableHighlight.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/TouchableHighlight.js,109,5,0,0,,
104,TouchableNativeFeedback.android.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/TouchableNativeFeedback.android.js,100,6,0,0,,
105,TouchableOpacity.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/TouchableOpacity.js,77,5,0,0,,
106,TouchableWithoutFeedback.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/components/touchables/TouchableWithoutFeedback.js,26,4,0,0,,
107,createHandler.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/handlers/createHandler.js,462,5,3,0,,
108,createNativeWrapper.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/commonjs/handlers/createNativeWrapper.js,74,3,1,0,,
109,GestureDetector.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/lib/module/handlers/gestures/GestureDetector.js,608,2,17,35,,
110,GestureDetector.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-gesture-handler/src/handlers/gestures/GestureDetector.tsx,817,2,17,47,,
111,CompatNativeSafeAreaProvider.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/CompatNativeSafeAreaProvider.js,43,3,0,0,,
112,NativeSafeAreaProvider.web.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/NativeSafeAreaProvider.web.js,135,3,4,0,,
113,SafeAreaContext.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/SafeAreaContext.js,126,4,6,0,,
114,SafeAreaView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/SafeAreaView.js,50,4,0,0,,
115,SafeAreaView.web.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-safe-area-context/lib/commonjs/SafeAreaView.web.js,86,3,0,0,,
116,createNativeStackNavigator.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/navigators/createNativeStackNavigator.js,68,5,0,0,,
117,SafeAreaProviderCompat.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/utils/SafeAreaProviderCompat.js,63,3,0,0,,
118,useHeaderHeight.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/utils/useHeaderHeight.js,19,3,1,0,,
119,HeaderConfig.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/views/HeaderConfig.js,133,3,0,0,,
120,NativeStackView.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/native-stack/views/NativeStackView.js,289,9,0,0,,
121,useReanimatedTransitionProgress.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/reanimated/useReanimatedTransitionProgress.js,19,3,1,0,,
122,useTransitionProgress.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/commonjs/useTransitionProgress.js,19,3,1,0,,
123,index.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/module/index.js,70,8,3,3,,
124,index.native.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/module/index.native.js,410,16,3,14,,
125,ReanimatedScreenProvider.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/lib/module/reanimated/ReanimatedScreenProvider.js,40,6,0,3,,
126,index.native.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/src/index.native.tsx,614,12,3,32,,
127,index.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-screens/src/index.tsx,120,7,3,12,,
128,ReactNativeSVG.web.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/commonjs/ReactNativeSVG.web.js,336,28,7,0,,
129,LocalSvg.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/LocalSvg.js,86,3,5,8,,
130,css.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/css.js,718,5,25,12,,
131,xml.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/lib/module/xml.js,487,6,23,27,,
132,css.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/css.tsx,765,5,25,31,,
133,Svg.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/elements/Svg.tsx,230,1,0,23,,
134,types.ts,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/lib/extract/types.ts,301,0,0,5,,
135,xml.tsx,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-native-svg/src/xml.tsx,562,5,23,29,,
136,react-shallow-renderer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-shallow-renderer/cjs/react-shallow-renderer.js,1044,0,17,0,,
137,react-shallow-renderer.js,/home/danielvitor/Documentos/Faculdade/PI_3/code/marmitaria/mobile/node_modules/react-shallow-renderer/esm/react-shallow-renderer.js,1042,0,17,4,,
